time,m_ballast_pumped,m_pitch,m_pressure,density
2024-08-05T16:58:21Z,NaN,-0.467748,NaN,1023.06635
2024-08-05T16:58:37Z,NaN,NaN,2.33412,NaN
2024-08-05T16:58:41Z,NaN,NaN,NaN,1021.2505
2024-08-05T16:58:53Z,NaN,NaN,NaN,NaN
2024-08-05T16:58:57Z,NaN,NaN,NaN,1021.1994
2024-08-05T16:59:01Z,NaN,0.548033,NaN,1024.6703
2024-08-05T16:59:04Z,NaN,NaN,NaN,1024.6588
2024-08-05T16:59:11Z,NaN,NaN,NaN,NaN
2024-08-05T16:59:13Z,NaN,NaN,NaN,1024.636
2024-08-05T16:59:18Z,NaN,NaN,NaN,NaN
2024-08-05T16:59:21Z,NaN,NaN,NaN,NaN
2024-08-05T16:59:25Z,NaN,NaN,NaN,1024.6223
2024-08-05T16:59:25Z,NaN,NaN,1.86556,1024.6077
2024-08-05T16:59:32Z,NaN,NaN,NaN,NaN
2024-08-05T16:59:39Z,NaN,NaN,NaN,1024.6007
2024-08-05T16:59:41Z,NaN,0.432842,NaN,NaN
2024-08-05T16:59:45Z,NaN,NaN,NaN,NaN
2024-08-05T16:59:46Z,NaN,NaN,NaN,1024.591
2024-08-05T16:59:53Z,NaN,NaN,NaN,1024.583
2024-08-05T17:00:00Z,NaN,NaN,NaN,1024.5696
2024-08-05T17:00:07Z,NaN,NaN,NaN,NaN
2024-08-05T17:00:09Z,NaN,NaN,NaN,1024.5594
2024-08-05T17:00:13Z,NaN,NaN,0.663992,NaN
2024-08-05T17:00:14Z,NaN,NaN,NaN,NaN
2024-08-05T17:00:21Z,NaN,NaN,NaN,1024.5226
2024-08-05T17:00:21Z,NaN,0.455531,NaN,NaN
2024-08-05T17:00:25Z,NaN,NaN,NaN,1024.4957
2024-08-05T17:00:28Z,NaN,NaN,NaN,NaN
2024-08-05T17:00:33Z,NaN,NaN,NaN,1024.4655
2024-08-05T17:00:57Z,NaN,NaN,NaN,NaN
2024-08-05T17:01:01Z,NaN,NaN,0.18383,1024.3735
2024-08-05T17:01:05Z,NaN,NaN,NaN,1023.7739
2024-08-05T17:01:33Z,NaN,NaN,NaN,NaN
2024-08-05T17:01:37Z,NaN,NaN,NaN,1023.24854
2024-08-05T17:01:49Z,NaN,NaN,0.951626,1021.5985
2024-08-05T17:02:22Z,NaN,NaN,NaN,NaN
2024-08-05T17:02:38Z,NaN,NaN,1.53153,NaN
2024-08-05T17:03:10Z,NaN,NaN,NaN,1021.3369
2024-08-05T17:03:26Z,NaN,NaN,2.25989,NaN
2024-08-05T17:03:58Z,NaN,NaN,NaN,1021.28064
2024-08-05T17:04:06Z,NaN,NaN,NaN,NaN
2024-08-05T17:04:14Z,NaN,NaN,1.97922,1021.27563
2024-08-05T17:04:58Z,NaN,NaN,NaN,1024.7141
2024-08-05T17:05:02Z,NaN,NaN,0.0237761,NaN
2024-08-05T17:05:30Z,NaN,NaN,NaN,NaN
2024-08-05T17:05:34Z,NaN,NaN,NaN,1024.6906
2024-08-05T17:05:38Z,NaN,NaN,NaN,NaN
2024-08-05T17:05:42Z,NaN,NaN,NaN,1024.6609
2024-08-05T17:05:46Z,NaN,NaN,NaN,NaN
2024-08-05T17:05:50Z,NaN,NaN,-0.00579798,1024.6299
2024-08-05T17:05:54Z,NaN,NaN,NaN,NaN
2024-08-05T17:05:58Z,NaN,NaN,NaN,1024.6116
2024-08-05T17:06:02Z,NaN,NaN,NaN,1024.5957
2024-08-05T17:06:06Z,NaN,NaN,NaN,NaN
2024-08-05T17:06:10Z,NaN,NaN,NaN,1024.5836
2024-08-05T17:06:34Z,NaN,NaN,NaN,NaN
2024-08-05T17:06:38Z,NaN,NaN,-0.0150747,1024.5692
2024-08-05T17:06:58Z,NaN,NaN,NaN,1024.5554
2024-08-05T17:07:02Z,NaN,NaN,NaN,1024.5426
2024-08-05T17:07:06Z,NaN,NaN,NaN,NaN
2024-08-05T17:07:26Z,NaN,NaN,-0.0127556,1024.4846
2024-08-05T17:07:38Z,NaN,NaN,NaN,NaN
2024-08-05T17:08:00Z,NaN,NaN,NaN,1024.3434
2024-08-05T17:08:11Z,NaN,NaN,NaN,1023.6355
2024-08-05T17:08:15Z,NaN,NaN,0.0150747,NaN
2024-08-05T19:20:03Z,NaN,NaN,NaN,1022.9757
2024-08-05T19:20:12Z,536.09,0.891863,-0.0176842,NaN
2024-08-05T19:20:12Z,NaN,NaN,8.69713E-4,1021.82904
2024-08-05T19:20:47Z,NaN,NaN,NaN,1021.25507
2024-08-05T19:21:03Z,NaN,NaN,-0.0176842,1021.2583
2024-08-05T19:21:15Z,NaN,NaN,NaN,1020.9582
2024-08-05T19:21:19Z,NaN,NaN,NaN,NaN
2024-08-05T19:21:39Z,NaN,NaN,-0.0200034,NaN
2024-08-05T19:22:48Z,NaN,NaN,NaN,NaN
2024-08-05T19:22:49Z,533.619,0.891863,0.0240621,NaN
2024-08-05T19:22:49Z,NaN,NaN,NaN,NaN
2024-08-05T19:22:56Z,NaN,NaN,NaN,NaN
